Time, tau_r1, tau_r2, tau_r3, tau_r4, tau_r5, tau_r6, tau_n1, tau_n2, tau_n3, tau_n4, tau_n5, tau_n6,
14.986, -4.9248, 78.418, 29.3605, -4.92743, -0.622413, -0, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
15.086, -10.4178, 85.2369, 30.945, -6.27599, 0.518677, 0.570545, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
15.186, -13.8273, 85.4264, 33.7412, -6.53533, -0.726148, 0.155603, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
15.286, -16.858, 84.8581, 34.7665, -7.31335, -1.29669, 0.829883, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
15.386, -17.9945, 74.4403, 37.3763, -7.41708, -1.29669, 1.50416, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
15.486, -19.6992, 69.8943, 36.351, -7.57269, -0.103735, 2.02284, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
15.586, -19.6992, 61.56, 36.2578, -8.55817, -0.881751, 2.59339, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
15.686, -16.1003, 53.2257, 34.1141, -7.72829, -1.34856, 2.90459, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
15.786, -7.76603, 43.5655, 35.0461, -9.07685, -1.6079, 3.57887, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
15.886, 10.4178, 25.5711, 34.6733, -9.49179, -0.881751, 3.47514, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
15.986, 19.131, 20.6463, 35.6986, -7.83202, -1.7635, 3.00833, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
16.086, 22.9193, 15.3426, 37.656, -7.67642, -2.54152, 1.40043, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
16.186, 21.9722, 13.6379, 37.7492, -3.73448, -0.622413, -1.71163, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
16.286, 15.5321, 13.0697, 41.5707, -3.83821, -1.03735, -2.59339, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
16.386, 5.11422, 5.68246, 38.9609, -3.31953, -0.985486, -2.07471, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
16.486, -5.11422, 9.09194, 38.8677, -4.20128, -1.14109, -2.02284, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
16.586, -10.4178, 9.09194, 38.122, -3.78634, -1.24483, -1.71163, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
16.686, -11.3649, 8.52369, 38.122, -4.56436, -0.933619, -1.71163, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
16.786, -12.8802, 10.4178, 37.9356, -4.09755, -1.86724, -1.34856, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
16.886, -13.2591, 4.73539, 36.7239, -3.63074, -1.14109, -1.4523, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
16.986, -12.8802, 10.2284, 36.9103, -4.09755, -1.91911, -1.29669, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
17.086, -13.2591, 11.1755, 36.4443, -3.94195, -1.6079, -1.19296, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
17.186, -12.8802, 10.4178, 35.3258, -4.04568, -1.6079, -1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
17.286, -12.5014, 13.0697, 35.3258, -4.56436, -1.97097, -1.6079, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
17.386, -13.2591, 11.1755, 37.1899, -4.61623, -1.24483, -1.50416, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
17.486, -13.2591, 15.5321, 34.6733, -4.20128, -1.65977, -1.6079, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
17.586, -13.0697, 14.7744, 34.3005, -4.30502, -2.02284, -1.50416, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
17.686, -13.0697, 14.3956, 34.8597, -4.04568, -1.65977, -1.6079, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
17.786, -13.2591, 18.5627, 35.2326, -4.09755, -1.7635, -1.50416, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
17.886, -13.4485, 15.9109, 35.419, -4.77183, -1.34856, -1.4523, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
17.986, -14.2062, 15.9109, 34.4869, -4.92743, -1.24483, -1.50416, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
18.086, -13.8273, 17.9945, 34.5801, -4.77183, -2.07471, -1.55603, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
18.186, -13.8273, 17.6156, 35.0461, -5.23864, -2.17844, -1.55603, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
18.286, -13.6379, 19.6992, 34.0209, -4.46062, -1.4523, -1.55603, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
18.386, -14.2062, 20.8357, 33.5548, -4.66809, -1.40043, -1.4523, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
18.486, -14.2062, 20.4569, 33.0888, -5.03117, -2.85272, -1.50416, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
18.586, -14.0167, 20.6463, 32.8092, -4.66809, -1.50416, -1.4523, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
18.686, -13.6379, 24.4346, 33.182, -5.03117, -1.14109, -1.55603, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
18.786, -14.2062, 24.624, 32.9024, -4.46062, -2.54152, -1.40043, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
18.886, -13.6379, 22.5404, 33.0888, -4.61623, -1.50416, -1.34856, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
18.986, -14.0167, 25.9499, 31.7839, -4.66809, -2.69712, -1.29669, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
19.086, -13.6379, 28.2229, 32.9956, -4.71996, -0.726148, -1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
19.186, -13.8273, 28.2229, 31.0382, -4.20128, -2.69712, -1.34856, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
19.286, -13.8273, 25.1923, 32.0635, -4.35689, -1.19296, -1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
19.386, -13.6379, 27.2758, 31.1314, -4.30502, -2.43778, -1.14109, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
19.486, -13.4485, 29.17, 32.7159, -4.56436, -1.4523, -1.19296, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
19.586, -13.8273, 28.6017, 30.479, -4.46062, -1.97097, -1.08922, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
19.686, -13.4485, 29.9276, 31.3178, -4.30502, -1.91911, -1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
19.786, -13.4485, 28.2229, 30.479, -4.20128, -1.14109, -1.29669, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
19.886, -13.6379, 27.4652, 30.3857, -4.14942, -2.64525, -1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
19.986, -13.6379, 32.0112, 30.0129, -4.40876, -1.91911, -1.29669, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
20.086, -13.2591, 33.1477, 31.5974, -4.51249, -0.881751, -1.19296, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
20.186, -13.4485, 32.5795, 30.479, -4.09755, -2.69712, -1.19296, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
20.286, -13.6379, 35.4207, 29.174, -4.25315, -2.12658, -1.19296, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
20.386, -14.0167, 42.0502, 27.0303, -4.09755, -1.19296, -1.19296, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
20.486, -14.0167, 62.3177, 14.6336, -3.99381, 3.2158, -1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
20.586, -14.3956, 80.3121, 11.3714, -4.20128, 2.90459, -1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
20.686, -14.0167, 93.3818, 8.66833, -4.14942, 4.51249, -1.40043, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
20.786, -13.6379, 98.1172, 6.05851, -4.20128, 3.94195, -1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
20.886, -12.6908, 102.474, 4.28756, -4.35689, 4.09755, -1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
20.986, -12.312, 105.504, 2.98265, -4.66809, 3.99381, -1.19296, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
21.086, -11.5543, 105.694, 4.00794, -5.18677, 5.18677, -1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
21.186, -10.4178, 108.914, 2.23699, -5.70545, 5.54984, -0.881751, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
21.286, -9.09194, 108.156, 2.51661, -6.17226, 5.08304, -0.726148, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
21.386, -7.57662, 103.042, 2.4234, -6.7428, 5.96479, -0.466809, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
21.486, -5.68246, 104.368, 3.16907, -6.84654, 6.06852, -0.155603, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
21.586, -3.59889, 104.557, 3.91473, -7.31335, 5.96479, 0.311206, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
21.686, -1.51532, 104.936, 3.26227, -7.72829, 6.5872, 0.726148, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
21.786, 1.13649, 96.0336, 4.28756, -7.98763, 6.27599, 1.08922, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
21.886, 3.22006, 87.3205, 5.59247, -7.41708, 5.54984, 1.08922, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
21.986, 5.11422, 93.1924, 5.12643, -8.29883, 7.10588, 1.4523, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
22.086, 6.62954, 83.3428, 5.31285, -7.62455, 6.69093, 1.50416, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
22.186, 7.76603, 83.7216, 8.76153, -8.09136, 6.84654, 1.50416, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
22.286, 8.52369, 78.6074, 8.76153, -8.5063, 6.01665, 1.50416, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
22.386, 9.09194, 76.5238, 7.36342, -8.55817, 6.63907, 1.4523, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
22.486, 9.09194, 76.7132, 7.92266, -8.5063, 7.00214, 1.55603, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
22.586, 8.71311, 72.1673, 7.36342, -8.1951, 6.27599, 1.71163, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
22.686, 8.33428, 68.379, 9.04116, -8.45444, 6.37973, 1.50416, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
22.786, 7.3872, 68.5684, 8.2955, -8.09136, 6.01665, 1.4523, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
22.886, 6.06129, 66.4848, 10.9985, -8.14323, 6.32786, 1.50416, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
22.986, 4.16714, 65.5377, 8.76153, -7.88389, 6.06852, 1.6079, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
23.086, 1.51532, 63.833, 10.1597, -7.78016, 6.27599, 1.6079, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
23.186, -1.89415, 60.0447, 10.9053, -7.88389, 6.63907, 1.4523, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
23.286, -5.30363, 59.4764, 10.2529, -7.83202, 6.84654, 1.4523, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
23.386, -9.66019, 58.3399, 10.3461, -7.67642, 6.12039, 1.29669, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
23.486, -12.6908, 55.8775, 11.5578, -6.95027, 6.63907, 1.14109, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
23.586, -15.5321, 53.0363, 11.9306, -6.4316, 6.37973, 0.259339, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
23.686, -16.2897, 51.8998, 11.5578, -4.66809, 7.62455, -0.933619, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
23.786, -16.6686, 50.5739, 13.7015, -3.94195, 6.5872, -1.6079, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
23.886, -16.1003, 49.0586, 11.1849, -3.78634, 6.17226, -1.97097, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
23.986, -14.9638, 47.7327, 13.3287, -3.47514, 6.32786, -1.97097, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
24.086, -13.8273, 45.0809, 14.354, -3.16393, 6.53533, -2.17844, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
24.186, -11.1755, 41.6714, 15.4725, -3.68261, 6.27599, -2.02284, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
24.286, -7.76603, 38.2619, 15.2861, -2.90459, 6.53533, -2.28218, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
24.386, -3.40948, 34.0948, 14.82, -3.63074, 7.31335, -2.28218, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
24.486, 0.947077, 30.4959, 15.0997, -3.47514, 5.70545, -2.12658, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
24.586, 5.68246, 28.4123, 16.2182, -3.2158, 6.22413, -2.43778, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
24.686, 9.66019, 28.0335, 15.9385, -3.47514, 7.05401, -2.23031, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
24.786, 12.1226, 26.3287, 16.4978, -3.42327, 6.17226, -2.02284, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
24.886, 13.4485, 25.9499, 15.4725, -3.94195, 6.17226, -2.07471, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
24.986, 14.9638, 25.0028, 15.0997, -3.42327, 6.53533, -2.12658, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
25.086, 15.1532, 24.2452, 14.82, -4.09755, 6.37973, -1.71163, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
25.186, 15.1532, 24.624, 14.4472, -3.73448, 6.22413, -1.55603, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
25.286, 15.3426, 25.5711, 13.5151, -3.83821, 6.84654, -1.7635, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
25.386, 14.2062, 24.2452, 12.8627, -4.20128, 6.89841, -1.4523, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
25.486, 14.7744, 23.1087, 12.3034, -4.25315, 6.48346, -1.4523, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
25.586, 14.585, 23.2981, 12.8627, -6.84654, 6.79467, 0.67428, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
25.686, 15.5321, 23.2981, 12.4898, -7.46895, 6.4316, 1.08922, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
25.786, 19.6992, 20.2674, 11.651, -7.41708, 7.57269, 1.14109, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
25.886, 21.4039, 15.5321, 9.32078, -7.72829, 8.29883, 1.65977, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
25.986, 19.8886, 12.8802, 7.54983, -7.62455, 8.24697, 2.07471, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
26.086, 17.9945, 7.76603, 6.05851, -7.57269, 9.07685, 2.17844, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
26.186, 14.0167, 1.70474, 7.82946, -7.46895, 7.83202, 2.17844, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
26.286, 7.19779, 5.68246, 8.20229, -7.00214, 7.20961, 1.81537, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
26.386, 1.13649, 6.25071, 5.9653, -7.15774, 7.52082, 1.86724, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
26.486, -1.89415, 4.54597, 8.66833, -6.79467, 8.55817, 2.02284, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
26.586, -3.97772, 5.68246, 9.5072, -7.00214, 7.62455, 1.7635, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
26.686, -5.49305, 3.59889, 10.0664, -7.15774, 7.15774, 1.50416, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
26.786, -6.44012, 6.81895, 8.01587, -6.7428, 8.40257, 1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
26.886, -7.00837, 7.19779, 8.85474, -6.5872, 8.14323, 1.4523, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
26.986, -7.76603, 8.71311, 10.8121, -6.5872, 7.20961, 1.29669, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
27.086, -7.3872, 7.76603, 10.4393, -6.37973, 7.72829, 1.34856, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
27.186, -8.52369, 5.68246, 9.88003, -6.27599, 7.78016, 1.14109, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
27.286, -8.90252, 10.4178, 8.85474, -6.06852, 7.98763, 1.29669, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
27.386, -9.28136, 10.6073, 9.88003, -5.91292, 8.29883, 1.29669, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
27.486, -9.47077, 8.52369, 9.88003, -5.80918, 7.78016, 1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
27.586, -9.8496, 13.8273, 9.88003, -5.91292, 6.7428, 1.34856, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
27.686, -10.039, 12.5014, 10.2529, -5.75732, 7.78016, 1.4523, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
27.786, -9.8496, 10.9861, 10.4393, -5.75732, 7.05401, 1.29669, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
27.886, -9.8496, 15.5321, 9.97324, -5.70545, 7.88389, 1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
27.986, -10.2284, 14.7744, 10.0664, -5.75732, 7.67642, 1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
28.086, -10.039, 12.6908, 9.78682, -5.70545, 6.5872, 1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
28.186, -10.2284, 16.1003, 10.1597, -5.91292, 6.53533, 1.19296, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
28.286, -10.2284, 18.9415, 10.2529, -5.54984, 6.84654, 1.14109, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
28.386, -10.2284, 17.805, 12.0238, -5.70545, 6.27599, 1.14109, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
28.486, -9.66019, 15.3426, 13.3287, -5.49798, 7.36521, 1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
28.586, -10.2284, 18.9415, 15.2861, -5.65358, 6.63907, 1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
28.686, -10.7967, 21.4039, 17.1502, -5.96479, 7.00214, 1.40043, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
28.786, -10.039, 25.7605, 18.0823, -6.48346, 5.54984, 1.4523, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
28.886, -9.66019, 30.8747, 18.1755, -6.79467, 4.92743, 1.4523, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
28.986, -9.28136, 43.5655, 16.7774, -6.48346, 2.12658, 1.55603, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
29.086, -7.76603, 58.9082, 15.0065, -6.12039, 0.881751, 1.4523, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
29.186, -7.95545, 69.7049, 12.2102, -6.17226, -0.155603, 1.40043, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
29.286, -8.14486, 78.418, 10.0664, -6.27599, 0.726148, 1.34856, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
29.386, -8.33428, 80.5016, 9.6004, -5.91292, -0.207471, 1.19296, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
29.486, -7.95545, 80.1227, 9.97324, -5.39424, 0.622413, 1.08922, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
29.586, -7.57662, 80.5016, 10.7189, -5.1349, 1.24483, 0.985486, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
29.686, -7.3872, 79.3651, 13.5151, -4.77183, 0.259339, 0.829883, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
